"email_base","market","asset_name","email_display_name","sfmc_reference_name","journey_name","path_name","email_slug","preview_file","preview_url","has_ampscript","source_system","preview_source","generation_method","status","match_method","sfmc_search_term","sfmc_name_pattern"
"EDM_CEN_MU_BKN_BknConfirmation","ARB","","Booking Confirmation","EDM_CEN_MU_BKN_BknConfirmation_ALL","Autoreplies","Booking path","booking-confirmation","ARB/booking-confirmation-arb.html","https://cc-content-static.pages.dev/ARB/booking-confirmation-arb.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_BKN_BknConfirmation","{sfmc_email_base}_{market}"
"EDM_CEN_MU_BKN_CampusConnectRem","ARB","","Campus Connect - download reminder","EDM_CEN_MU_BKN_CampusConnectRem_ALL","Booking Journey","Booking path","campus-connect-download-reminder","ARB/campus-connect-download-reminder-arb.html","https://cc-content-static.pages.dev/ARB/campus-connect-download-reminder-arb.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_BKN_CampusConnectRem","{sfmc_email_base}_{market}"
"EDM_CEN_MU_BKN_CampusConnectTY","ARB","","Campus Connect - welcome","EDM_CEN_MU_BKN_CampusConnectTY_ALL","Booking Journey","Booking path","campus-connect-welcome","ARB/campus-connect-welcome-arb.html","https://cc-content-static.pages.dev/ARB/campus-connect-welcome-arb.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_BKN_CampusConnectTY","{sfmc_email_base}_{market}"
"EDM_CEN_MU_BKN_OfficeReview","ARB","","Booking advocacy - Google review","EDM_CEN_MU_BKN_OfficeReview_ALL","Booking Journey","Booking path","booking-advocacy-google-review","ARB/booking-advocacy-google-review-arb.html","https://cc-content-static.pages.dev/ARB/booking-advocacy-google-review-arb.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_BKN_OfficeReview","{sfmc_email_base}_{market}"
"EDM_CEN_MU_BKN_ThankYou","ARB","","Booking Thank You","EDM_CEN_MU_BKN_ThankYou_ALL","Autoreplies","Booking path","booking-thank-you","ARB/booking-thank-you-arb.html","https://cc-content-static.pages.dev/ARB/booking-thank-you-arb.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_BKN_ThankYou","{sfmc_email_base}_{market}"
"EDM_CEN_MU_Opp_JB_Consultation2.0_Confirmation","ARB","","Consultation 2.0 Confirmation","EDM_CEN_MU_Opp_JB_Consultation2.0_Confirmation_ALL","Autoreplies","Consultation 2.0: Autoreply and Reminder","consultation-2-0-confirmation","ARB/consultation-2-0-confirmation-arb.html","https://cc-content-static.pages.dev/ARB/consultation-2-0-confirmation-arb.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_Opp_JB_Consultation2.0_Confirmation","{sfmc_email_base}_{market}"
"EDM_CEN_MU_Opp_JB_Consultation2.0_Rem","ARB","","Consultation 2.0 Reminder","EDM_CEN_MU_Opp_JB_Consultation2.0_Rem_ALL","Autoreplies","Consultation 2.0: Autoreply and Reminder","consultation-2-0-reminder","ARB/consultation-2-0-reminder-arb.html","https://cc-content-static.pages.dev/ARB/consultation-2-0-reminder-arb.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_Opp_JB_Consultation2.0_Rem","{sfmc_email_base}_{market}"
"EDM_CEN_MU_Opp_JBCON_REFERRALS_Referee_AR","ARB","","Referral AR - referee","EDM_CEN_MU_Opp_JBCON_REFERRALS_Referee_AR_ALL","Autoreplies","Referral: Referrer and referred autoreply","referral-ar-referee","ARB/referral-ar-referee-arb.html","https://cc-content-static.pages.dev/ARB/referral-ar-referee-arb.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_Opp_JBCON_REFERRALS_Referee_AR","{sfmc_email_base}_{market}"
"EDM_CEN_MU_Opp_JBCON_REFERRALS_referrer-notification","ARB","","Referral AR - referrer notification","EDM_CEN_MU_Opp_JBCON_REFERRALS_referrer-notification_ALL","Autoreplies","Referral: Referrer and referred autoreply","referral-ar-referrer-notification","ARB/referral-ar-referrer-notification-arb.html","https://cc-content-static.pages.dev/ARB/referral-ar-referrer-notification-arb.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_Opp_JBCON_REFERRALS_referrer-notification","{sfmc_email_base}_{market}"
"EDM_CEN_MU_Ret_JB_Ret-TravelAgain_1_WelcomeHome","ARB","","TravelAgain Auto - Welcome Home","EDM_CEN_MU_Ret_JB_Ret-TravelAgain_1_WelcomeHome_ALL","Opportunity MQL Journey","""To Contact"" path (Returner travel again auto)","travelagain-auto-welcome-home","ARB/travelagain-auto-welcome-home-arb.html","https://cc-content-static.pages.dev/ARB/travelagain-auto-welcome-home-arb.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_Ret_JB_Ret-TravelAgain_1_WelcomeHome","{sfmc_email_base}_{market}"
